Sr no,FILM NAME,Starcast,YOR,Language,LOT,GRADING,"FULL
MOVIE",SCENE,SONG,Ultra Bollywood,Ultra Movie Parlour,Bollywood Premium,Film City HD,Ultra Filmy,Bollywood 70s 80s,2000 Ki Filmein,Filmy Deewane,Ultra Classic,Indian cinema,Ultra Action Hits,Hindi Dubbed Movies,Ultra Movie Hub,90's Bollywood,Free TV ,South Ke Khiladi,South Hindi Dubbed,Movies with Subtitle,Hindi Thriller Movies,Playmovies,Hindi Movieplex,The Kapoors,Ladies Special,Filmy Duniya,Haste Raho,Bolly Shorts,Hansi Mazaak,Bollywood Dil se,Comedy Super Kings,Ultra Movie World,Ultra Cinema,Ajay Akshay Sunny,Dharam Paaji,Zabardast Action,Bollywood clips,Mahaguru Mithun,Sunny Deol Hits,Dumdaar Villains,Govinda No 1,90s Ke Hero,The Khans,Amitabh Special,Movie Climax,King Kader Khan,90s Ki Heroine,Bhakti Mein Shakti,Ultra Sports,Gaane Naye Purane,SuperHit Gaane,Dard Bhare Songs,Gaane Ke Jukebox,Romantic Gaane,90s Filmy Gaane,Gaane 70s 80s,Rafi Ke Gaane,Ultra Bollywood Songs,Kishore Kumar Songs,Lataji Ke Gaane,Old Hindi Songs,Facebook
651,PURAVE,"Niranth, Raksha Somashekhar. Ashwath Neenasam, Sandeep Neenasam, Ravi, Yamuna, Madan Raj,Nagesh Rao and Puneeth Gowda etc.",2020,HINDI DUB,MIX,B+,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,,,,YES,YES,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,YES
652,MERA KANOON (NAAGA- TELUGU),"JR. NTR, SADHA, NASSAR, JENNIFER KOTWAL, RAGHUVARAN AND OTHERS",2003,HINDI DUB,MIX,A+,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,,,,YES,YES,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,YES
653,HALLO (MALAYALAM),"Mohanlal, Parvathi Melton, Jagathi Sreekumar, Siddique And Others.",2007,HINDI DUB,MIX,B,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,,,,,,,,,,,,,YES
654,INSTANT KARMA (KANNADA),"Anjan Dev, Bala Rajwadi, Prajwal Shetty, Yash Shetty Etc.",2022,HINDI DUB,MIX,B,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,,,,,,,,,,,,,YES
655,AGNIJWALA (NARASIMHA-TAMIL),"Vijayakanth, Isha Koppikar, Raghuvaran, Rahul Dev, Vadivelu Etc.",2001,HINDI DUB,MIX,B,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,,,,,,,,,,,,,YES
656,DHAKA ATTACK,"Arifin Shuvo, Tasif, Mahiya Mahi, Arafat Hassan Sohan, Sanj John Etc.",2017,HINDI DUB,MIX,A,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,,,,YES,YES,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,YES
657,MISSION EXTREME,"Arifin Shuvo, Jannatul Ferdous Oishee, Sadia Nabila, Taskeen Rehman Etc,",2021,HINDI DUB,MIX,A,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,,,,YES,YES,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,YES
658,MARUBHOOMIYILE AANA (MALAYALAM),"BIJU MENON, S. V. KRISHNA SHANKAR, LALU ALEX, BALU VARGHESE, SAMSKRUTY SHENOY",2016,HINDI DUB,MIX,B,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,,,,,,,,,,,,,YES
659,GRAHANAM (MALAYALAM),"SUDHEER KARAMANA, GIBU GEORGE, VIJAY MENON, DEVIKA SIVAN",2021,HINDI DUB,MIX,B+,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,,,,YES,YES,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,YES
660,KANABADUTALEDU KHOJ (TELUGU),"Sunil, Sukranth Veerella, Vaishaliraj, Ravi Varma, Himaha, Praveen Etc.",2021,HINDI DUB,MIX,A,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,,,,YES,YES,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,YES
661,MANAROOPA (KANNADA),"DILEEP KUMAR, ANUSHA RAO, NISHA B.R., B. SURESHA, Aryan, Shivaprasad, Amogh Siddarth and others",2019,HINDI DUB,MIX,B+,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,,,,YES,YES,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,YES
662,NIGHT DRIVE (MALAYALAM),"Roshan Mathew, Anna Ben, Indrajith Sukumaran, Kalabhavan Shajon Etc,",2022,HINDI DUB,MIX,B+,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,,,,YES,YES,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,YES
663,NALLAMALA (TELUGU),"Amit Tiwari, Nassar, Prabhakar, Ajay Ghosh And Others,",2022,HINDI DUB,MIX,B+,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,,,,YES,YES,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,YES
664,KHO KHO (MALAYALAM),"Rajisha Vijayan, Rahul Riji Nair, Mamitha Baiju, Venkitesh V. P., Arjun Ranjan Etc.",2021,HINDI DUB,MIX,B+,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,,,,YES,YES,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,YES
665,KEEDAM ( MALAYALAM),"Vijay Babu, Manikandan, Anand Manmadhan, Rahul Riji Nair, Arjun Ranjan",2022,HINDI DUB,MIX,B+,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,,,,YES,YES,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,YES
666,ANYAY HI ANYAY,"MADAN JAIN, ARCHANA PURAN SINGH, ALOK NATH, SHAFI INAMDAAR, SURESH OBEROI, RESHMA SINGH",1997,Hindi,MIX,B,YES,YES,NO,YES,YES,YES,YES,YES,,,YES,,YES,YES,,YES,YES,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,YES,,,YES,,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
667,BANEGI APNI BAAT,"RAGHUVEER YADAV, AJAY GEHI, PIYUSH MISHRA, DARSHAN GANDA, SHILPI ARORA, SUDEEP JUGRAN, RAJENDER GUPTA, ROSHI ACHREJA",2021,Hindi,MIX,B,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
668,KAKATHEEYUDU,,NA,HINDI DUB,MIX,B,YES,YES,NO,YES,YES,YES,YES,YES,,,YES,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,,,,,,,,,,,,,YES
669,FRIENDS,"VIJAY, SURYA, VADIVELU, DEVAYANI, VIJAYA LAXMU",2001,HINDI DUB,MIX,A+,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,,,,YES,YES,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,YES
670,706,"Atul Kulkarni, Divya Dutta, Mohan Agashe, Anupam Shyam, Rayo S. Bakhirta, Yashvit.",2019,Hindi,MIX,B,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
671,THUPPAKKI- THE POWERFUL SOLDIER (THUPPAKKI - TAMIL),"VIJAY, KAJAL AGGARWAL,. VIDYUT JAMWAL, SANTOSH SIVAN, A. R. MURUGADOSS (spl), ZAKHIR HUSSAIN etc",NA,Hindi,MIX,A+,YES,YES,NO,YES,YES,YES,YES,YES,,,YES,,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
672,SALLU KI SHAADI,"Zeenat Aman, Kashyap Barbhaya, Arshin Mehta, Kiran Kumar, Sandeep Anand, Asrani",2017,HINDI,MIX,B+,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
673,ROSE (KANNADA),"Ajay Rao, Sadhu Kokila, Bullet Prakash",NA,HINDI DUB,MIX,B,YES,YES,NO,YES,YES,YES,YES,YES,,,YES,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,,,,,,,,,,,,,YES
674,KARIYA (KANNADA),"Darshan, Abhinayasri, B. Jayshree",NA,HINDI DUB,MIX,B,YES,YES,NO,YES,YES,YES,YES,YES,,,YES,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,,,,,,,,,,,,,YES
675,RANGBIRANGI (KANNADA),"SREEJITH, TANVI RAO AND OTHERS",2018,HINDI DUB,MIX,B,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,,,,,,,,,,,,,YES
676,GOWDRUDUGRU (KANNADA),"Ravi Shankar, Gopi Krishna",2015,HINDI DUB,MIX,B+,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,,,,YES,YES,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,YES
677,RAAKSHASI (KANNADA),"Navarasan, Sindhu Lokanath",2017,HINDI DUB,MIX,B,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,,,,,,,,,,,,,YES
678,AMMA I LOVE YOU (SIDDHU – THE WARRIOR) (KANNADA),"CHIRANJEEVI SARJA, PRAKASH BELAVADI, SITARA, NISHVIKAA, CHIKKANNA, RAVI KALE",2018,HINDI DUB,MIX,A,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,,,,YES,YES,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,YES
679,POSSIBLE (KANNADA),"Ramakrishna, Shobharaj, MS Jahangeer, Shravya Rao, Chethan Surya",2016,HINDI DUB,MIX,B,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,,,,,,,,,,,,,YES
680,AVALA NERALU(Dangerous Officer) (KANNADA),"Ambarish, Ambika, Dinesh",NA,HINDI DUB,MIX,B,YES,YES,NO,YES,YES,YES,YES,YES,,,YES,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,,,,,,,,,,,,,YES
681,MITHYA,"RANVIR SHOREY, NEHA DHUPIA, NASERUDDING SHAH, SAURABH SHUKLA, VINAY PATHAK, HARSH CHHAYA, TINU ANAND. ETC",2008,HINDI,MIX,A,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
682,THE INTERVIEW – NIGHT OF 26/11,"JACKIE SHROFF, ANJUM NAYAR, ASIF BASRA and others",2021,HINDI,MIX,A,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
683,MAINE GANDHI KO NAHI MAARA,"ANUPAM KHER, URMILA MATONDKAR, PARVIN DABAS, BOMAN IRANI, RAJIT KAPOOR.",2005,HINDI,MIX,A+,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
684,YELLOW BOARD,"PRADEEP, AHALYA SURESH, SADHU KOKILA, SNEHA AMIT RAJ, ASHWIN HASSAN etc",2022,HINDI DUB,MIX,B,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,,,,,,,,,,,,,YES
685,ANOKHA ANDAAZ,"MANISHA KOIRALA, MANISH KUMAR, KADER KHAN, ANNU KAPOOR, DILIP TAHIL, ASRANI etc",1995,HINDI,MIX,B+,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,,YES,,,,YES,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,YES,,,,YES,YES,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
686,PYAR KA KARZ,"MITHUN CHAKRABORTHY, DHARMENDRA, MEENAKSHI SHESHADRI, NEELAM, SONAM & OTHERS",1990,HINDI,MIX,B+,YES,YES,NO,YES,YES,YES,YES,YES,,,YES,,YES,,,,YES,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,YES,,,YES,,,,YES,,,,,YES,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
687,VISHKANYA,"POOJA BEDI, KUNAL GOSWAMI, MOON MOON SEN. KABIR BEDI and others",1991,HINDI,MIX,B+,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,,YES,,,,YES,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,YES,,,,,YES,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
688,JAI SHAKUMBHARI MAA,"RAJ KIRAN, DARA SINGH, MAMTA AGARWAL, POOJA AGARWAL, EISSHAN etc",2000,HINDI,MIX,B,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
689,AAJ KA NETA,"Ravi Kissan, Simran, Siddharth Dhawan, Pramod Mahto, Vijay Arora.",2001,HINDI,MIX,B+,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
690,LANKE (KANNADA),"YOGESH, KAVYA SHETTY, SANCHARI VIJAY, KRISHI THAPANDA, SUCHENDRA PRASAD, ESTER NORONHA etc",2021,HINDI DUB,MIX,B,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,,,,,,,,,,,,,YES
691,GEHRI CHHOT,"SHASHI KAPOOR, SHARMILA TAGORE, PARVEEN BABI, RAJ BABBAR",1986,HINDI,MIX,B+,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
692,DO MATWALE,"SANJAY DUTT, CHUNKEY PANDEY, SHILPA SHIRODKAR, KADER KHAN",1991,HINDI,MIX,A,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,,YES,,,,YES,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,YES,,,,YES,YES,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
693,KHELA HOBE,"OM PURI. RATI AGNIHOTRI, MUGHDA GODSE, SANJAY BATRA, AARYAN, MANOJ JOSHI, RUSHAD RANA,",2023,HINDI,MIX,B,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
694,THE ERA OF 1990,"ARJUN MANHAS, SARA KHAN, AARTI BHAGAT, SHANKY SHARMA, RAY PARIHAR and others",2023,HINDI,MIX,B,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
695,NIMMO LUCKNOW WALI,"RAJESH JAIS, VRAJESH HIRJEE, ANIL RASTOGI, KISHWAR MERCHANT, MIDHAT KHAN and others",2023,HINDI,MIX,B,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
696,PARVATINAGAR (UNREL),"RAJ SANE, PAYAL PANDE, MIHIR KULKARNI, CHANDRAKANT KADROLI etc,",2023,HINDI,MIX,B,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
697,JACKSON BAZAAR YOUTH (MALAYALAM),"JAFFER IDUKKI, LUKMAN AVARAN, INDRANS, ABHIRAM RADHAKRISHNAN, FAHIM SAFAR, CHINNU CHANDNI NAIR etc",2023,HINDI DUB,MIX,B,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,,,,,,,,,,,,,YES
698,PALLIMANI (MALAYALAM),"SHWETA MENON, KAILASH, NITHYA DAS, DINESH PANICKER, KAILASH, etc",2023,HINDI DUB,MIX,B,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,,,,,,,,,,,,,YES
699,CHASE (KANNADA),"RADHIKA NARAYAN, AVINASH NARSIMHARAJU, SHEETAL SHETTY, ARAVIND RAO, RAJESH NATARANGA etc",2022,HINDI DUB,MIX,B,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,,,,,,,,,,,,,YES
700,CARBON (TAMIL),"VIDHARTH, DHANYA BALAKRISHNA, G. MARIMUTHU, MUNNAR RAMESH, VINOD SAGAR, P. MOORTHY etc",2022,HINDI DUB,MIX,B,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,,,,,,,,,,,,,YES
701,PSYCHO MAX (KANNADA),"YASHASWA, POOJITHA GOWDA, BS MANJUNATH, RAJESH MISHRA, PRAMODH GANGAVATI, AJITH KUMAR AND OTHERS.",2023,HINDI DUB,MIX,B,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,,,,,,,,,,,,,YES
702,MARY (KANADA),"Vikash Uthaiah, Thejaswini Sharma, Anoosha Bhat, Sandeep Ninasam, Chethan Vicky, Sumanth, Bhargav, Venkatesh, Varun Amaravathi,
Deepak, and others",2023,HINDI DUB,MIX,B,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,,,,,,,,,,,,,YES
703,GEETHA’ (MUTE WITNESS) (TELUGU),"HEBBA PATEL, SUNEEL, TANIKELLA BHARANI, RAM KARTHIK, SAI KIRAN and other",2022,HINDI DUB,MIX,B,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,,,,,,,,,,,,,YES
704,EK AUR VINASHAK - NENINTHE (TELUGU),"RAVI TEJA, SEEYA, SAYAJI SHINDE",2008,HINDI DUB,MIX,A,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,,,,YES,YES,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,YES
705,ARMAAN,"AMITABH BACHHAN , ANIL KAPOOR, PRITIE ZINTA , GRACY SINGH , RANDHIR KAPOOR",2003,HINDI,DINESH GANDHI,A+,YES,YES,YES,YES,YES,YES,YES,YES,,YES,YES,,YES,,,,,,,,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,YES,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
706,BEDARDI,"AJAY DEVGAN, URMILA MATONDKAR, REENA ROY, NASEERUDIN SHAH",1993,HINDI,DINESH GANDHI,A,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,,YES,,,,YES,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,YES,,,,,,,,YES,,,,,YES,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
707,HIMMAT,"SUNNY DEOL, SHILPA SHETTY, TABU, NASEERUDDIN SHAH, KIRAN KUMAR",1996,HINDI,DINESH GANDHI,A,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,,YES,,,,YES,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,YES,,,,,YES,,,YES,,,,,YES,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
708,LAAWARIS,"AKSHAYE KHANNA, JACKIE SHROFF , MANISHA KOIRALA , DIMPLE KAPADIA ,",1999,HINDI,DINESH GANDHI,B+,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,,YES,,,,YES,,,,YES,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,YES,,,,,YES,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
709,LOVE 86,"GOVINDA, NEELAM, ROHAN KAPOOR, FARHA, TANUJA",1986,HINDI,DINESH GANDHI,A+,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,,,,,,,YES,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,YES,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
710,MAIN BALWAAN,"DHARMENDRA , MEENAKSHI SHESHADRI , MITHUN CHAKROVORTY , SURESH OBEROI",1986,HINDI,DINESH GANDHI,B+,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,YES,,,YES,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
711,MARTE DAM TAK,"GOVINDA , RAJ KUMAR , FARHA , OM PURI , SHAKTI KAPOOR",1987,HINDI,DINESH GANDHI,A,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,YES,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
712,NARSIHMA,"SUNNY DEOL, DIMPLE KAPADIA , URMILA MATONDKAR , RAVI BEHL , OM PURI",1991,HINDI,DINESH GANDHI,A+,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,,YES,,,,YES,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,YES,,,,,YES,,,YES,,,,,YES,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
